aktiv;mtid_vf;mtid_vb;mtid_parent;vannforsyningssystem;behandlingsanlegg;kommunenr;kommune;funksjon;kunstig_infiltrasjon;siling;filtrering_membran;desinfeksjon_membran;avsalting;koagulering;flokkulering;flotasjon;sedimentering;ionebytte;filtrering_ozon;desinfeksjon_ozon;uv_bestraaling;klorering;kloramin;desinfeksjon_annen;lufting;fjerning_jern_mangan;fjerning_uorg_stoff;ph_just_korrosjonkontroll;avherding;dosering_andre_kjemikalier;andre_behandlingsmetoder;periode
nei;Z0704301334209681190GHVTZ;Z0704301334209741190BJFHF;Z0704301334209721190CRZGZ;Grønland - Vannforsyning Bærum Kommune Natur Og Idrett;Vannbehandlingsanlegg For Grønland - Vannforsyning Bærum Kommune Natur Og Idrett;;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
nei;Z0704301334333151189YIBAT;Z0704301334333171189CEWAQ;Z0704301334333161189DWNID;1716 Skytterkollen As;Vannbehandlingsanlegg For 1716 Skytterkollen As;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
nei;Z0705302301319791189RQYAK;Z0806061209070110177ZUNXC;Z0805072300372571190WUNFM;Forsand Kommunale Vannverk;Forsand Vannbehandlingsanlegg(Eldre);;;Reserveanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2010
nei;Z0704301334367811189XKVFN;Z0704301334367831189QDITF;Z0704301334367821189ONJBY;Fjordlaks As - Sjøvannforsyni- Ngsanlegg (Fersk-Salt-Anllegg;Vannbehandlingsanlegg For Fjordlaks As - Sjøvannforsyni- Ngsanlegg (Fersk-Salt-Anllegg;;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
nei;Z0704301335211671190BJAHD;Z0704301335211721190BTYRW;Z0704301335211711190YQPLR;Kvisle Vassverk;Vannbehandlingsanlegg For Kvislistøyl Vassverk Brokke Vatn- Og Avlaupsverk As;4216;Birkenes;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2011
ja;Z0704301335326241189ZPULZ;Z0704301335326261189YDDNB;Z0704301335326251189WSWCW;Leivann V/Jan Gjernes;Vannbehandlingsanlegg For Leivann V/Jan Gjernes;4201;Risør;;nei;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2011
nei;Z0704301335369601189ZIOFX;Z0704301335369621189WZPQO;Z0704301335369611189MNLAR;Hjeltefjorden Fjordsenter;Vannbehandlingsanlegg For Hjeltefjorden Fjordsenter;;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
ja;Z0704301339315751190HWICV;Z0808191029460540177KXASN;Z0808191023452350177JFTSZ;Omnes Caravan V/Elling Omnes;Behandlingsanlegg Omnes Camping;;;Hovedanlegg;nei;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
nei;Z0704301335229181190MFZBZ;Z0704301335229201190GZRSQ;Z0704301335229191190JZWBX;Lien Vannverk;Vannbehandlingsanlegg For Lien Vannverk;;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
nei;Z0704301335238131190PNQEY;Z0704301335238151190GHIFI;Z0704301335238141190XLBAK;Baugetveitstemma Vannverk;Vannbehandlingsanlegg For Baugetveitstemma Vannverk;;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
nei;Z0704301335239221190TEWCS;Z0704301335239241190KZMUC;Z0704301335239231190MZPKI;Raudtjørn Vannverk;Vannbehandlingsanlegg For Raudtjørn Vannverk;;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
nei;Z0704301335243851190JETMW;Z0704301335243871190JUJGL;Z0704301335243861190YPCIN;Eidesjøen Vassverk;Vannbehandlingsanlegg For Eidesjøen Vassverk;;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
ja;Z0704301338341771190WOLTN;Z0901051454450910124VGFUY;Z0805072302585331194ECBNX;Mørkdalen Vannverk;Vestervollen;1860;Vestvågøy;Hovedanlegg;nei;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2025
nei;Z0704301335265381190KVDXP;Z0704301335265401190GWXAL;Z0704301335265391190QQLRK;Olsen Skarholmen A/S, Rolf;Vannbehandlingsanlegg For Olsen Skarholmen A/S, Rolf;;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
