aktiv;orgform;fnr;fnavn;orgnr;virksomhet;virksomhet_kommunenr;virksomhet_kommune;vannforsyningssystem;mtid_vf;ir_orgform;vregnr;kommunenr;kommune;mtregion;mtavdeling;siste_insp;omraade;periode;vannprod;vannegetnett;vann_mottatt;max_vann_pers;max_vann_dogn;beredskap;beredsk_oppd;beredsk_ovelse;boliger;helseinst;skoler;nmindustri;hyttercamp;gardsbruk;fiskemottak;ant_fastboende;ant_personer_max;ant_husstander;ant_hytter;forbr_fast_bosetting;forbr_fritidsboliger;forbr_industri;forbr_tjytende;forbr_primnaering;forbr_annet;forbr_lekkasje
nei;KOMM;935478715;Bærum Kommune;974553619;Bærum Kommune Vann Og Avløp;3201;Bærum;Sollihøgda Vannverk Bærum Kommune Vann Og Avløp;Z0704301334220581190KVPHB;Kommunal etat/enhet;21903;;;ERROR [MAT_EJBOrgUnit];tilsynet;2019-09-24;Sollihøgda;2021;12830.0;12830.0;0.0;127.0;365.0;ja;ja;ja;ja;nei;nei;nei;nei;nei;nei;137;150;53;0;51.0;0.0;0.0;0.0;0.0;18.0;31.0
ja;SA;870953682;Vaksvik Vassverk Sa;973332449;Vaksvik Vassverk Sa;1508;Ålesund;Vaksvik Vassverk A/L;Z0704301334229761190PVHZK;Privat AS, BA, lag, stiftelse, statlig etc;152302;1508;Ålesund;ERROR [MAT_EJBOrgUnit];tilsynet;2026-03-12;Vaksvika;2025;96.0;96.0;0.0;0.0;0.0;ja;ja;nei;ja;nei;nei;nei;nei;ja;nei;180;230;90;51;60.0;25.0;0.0;0.0;15.0;0.0;0.0
ja;SA;970549757;Hildre Vasslag Sa;982657083;Hildre Vasslag Sa;1580;Haram;Hildre Vasslag A/L;Z0704301334273461190HPIXO;Privat AS, BA, lag, stiftelse, statlig etc;153405;1580;Haram;ERROR [MAT_EJBOrgUnit];tilsynet;2020-11-12;Strekn. Alvestad-Hildre. VASSLAGET FORSYNES FRA: Haram komm. v.v.Ytre;2025;0.0;5000.0;5000.0;100.0;365.0;nei;ja;ja;ja;nei;ja;nei;nei;ja;nei;250;250;76;2;81.0;3.0;5.0;0.0;10.0;0.0;1.0
nei;FLI;;;986306757;Nye Løite Vannverk;0911;Gjerstad - UTGÅTT KODE;Løite Vannverk;Z0704301334311811190DXMOL;;91104;4211;Gjerstad;ERROR [MAT_EJBOrgUnit];tilsynet;2009-09-14;;2010;9000.0;9000.0;0.0;;;nei;nei;nei;ja;;;nei;nei;;;105;105;42;0;80.0;1.0;0.0;0.0;19.0;0.0;0.0
nei;BA;;;976929004;Alnes Vassverk Ba;1532;Giske;Alnes Vassverk;Z0704301334335091189ACHFQ;;153202;1532;Giske;ERROR [MAT_EJBOrgUnit];tilsynet;2008-09-02;Alnes;2009;0.0;30300.0;30300.0;;;ja;nei;nei;ja;nei;ja;nei;ja;ja;nei;194;284;83;14;80.0;;;;;10.0;10.0
ja;SA;970197567;Fjørtoft Vassverk Sa;998951623;Fjørtoft Vassverk Sa;1580;Haram;Fjørtoft Vassverk Sa;Z0704301334355061189GZVWT;Privat AS, BA, lag, stiftelse, statlig etc;153406;1580;Haram;ERROR [MAT_EJBOrgUnit];tilsynet;2021-10-21;Fjørtofta FORSYNES FRA: Haram komm.v.v.Ytre;2025;0.0;38932.0;38932.0;100.0;2.0;ja;ja;ja;ja;nei;nei;nei;nei;ja;nei;80;350;63;83;16.0;8.0;4.0;3.0;22.0;2.0;45.0
nei;SA;984618182;Flatebygd Vannverk Sa;984781571;Flatebygd Vannverk Sa;4219;Evje og Hornnes;Flatebygd Vannverk Ba V/Ånund Flaat;Z0704301334415621189NNIZX;Privat AS, BA, lag, stiftelse, statlig etc;93703;4219;Evje og Hornnes;ERROR [MAT_EJBOrgUnit];tilsynet;2014-03-20;Flatebygd;2015;6874.0;6736.0;0.0;0.0;0.0;nei;nei;nei;ja;nei;nei;nei;nei;ja;nei;90;145;37;3;80.0;3.0;;;15.0;;2.0
ja;AS;984099118;Brokke Vatn Og Avlaupsverk As;984125917;Brokke Vatn Og Avlaupsverk As;4221;Valle;Kvisle Vassverk;Z0704301335211671190BJAHD;Privat AS, BA, lag, stiftelse, statlig etc;94005;4216;Birkenes;ERROR [MAT_EJBOrgUnit];tilsynet;2018-01-24;Brokke hyttefelt og Garane boligfelt;2025;45000.0;45000.0;0.0;100.0;1.0;ja;nei;nei;ja;nei;nei;nei;nei;ja;nei;50;2000;50;500;40.0;60.0;0.0;0.0;0.0;0.0;0.0
nei;AS;985345899;Øyvar As;980440710;Øyvar As Avd Vatn;4626;Øygarden;Kørelen Vassverk;Z0704301335255041190PUVER;Kommunalt aksjeselskap;124502;;;ERROR [MAT_EJBOrgUnit];tilsynet;2017-11-22;Sund kommune;2019;1037574.0;1037574.0;0.0;2500.0;365.0;ja;ja;ja;ja;ja;ja;ja;ja;ja;ja;4165;4165;1658;25;20.0;5.0;20.0;10.0;10.0;5.0;30.0
ja;AS;983633358;Gann Tre Prosjekt As;983747108;Gann Tre Prosjekt As;1119;Hå;Eikemyrane Hyttefelt;Z0704301335310341190RZTUF;Privat AS, BA, lag, stiftelse, statlig etc;111404;1114;Bjerkreim;ERROR [MAT_EJBOrgUnit];tilsynet;2014-06-19;Eikemyrane hyttefelt;2025;2139.0;2139.0;0.0;0.0;0.0;nei;nei;nei;nei;nei;nei;nei;ja;nei;nei;0;130;0;32;;;;;;;
ja;FLI;971494794;Ålgård Baptistmenighet;973484044;Ålgård Baptistmenighet;1122;Gjesdal;Liland Ungdomssenter - Vannforsyning;Z0704301335319681190KRYFK;Privat AS, BA, lag, stiftelse, statlig etc;;1122;Gjesdal;ERROR [MAT_EJBOrgUnit];tilsynet;2008-12-04;Liland ungdomssenter;2021;50.0;50.0;0.0;0.0;0.0;ja;nei;nei;nei;nei;nei;ja;nei;nei;nei;0;100;0;0;;;;;;;
nei;AS;983270492;Moi Bygg As;983348971;Moi Bygg As;4227;Kvinesdal;Neset Hyttefelt;Z0704301335321791190HQUQU;;;;;ERROR [MAT_EJBOrgUnit];tilsynet;2012-04-19;Neset hyttefelt;2011;600.0;600.0;;;;ja;nei;nei;nei;nei;nei;nei;ja;nei;nei;0;50;0;12;;;;;;;
ja;ENK;979575815;Jan Erik Gjernes;979611862;Jan Erik Gjernes;4201;Risør;Leivann V/Jan Gjernes;Z0704301335326241189ZPULZ;;90104;4201;Risør;ERROR [MAT_EJBOrgUnit];tilsynet;2010-06-02;Risør;2011;596.0;596.0;;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;0;150;0;34;;;;;;;
nei;BEDR;;;972489352;Solsvik Vassverk Sa;1246;Fjell - UTGÅTT KODE;Solsvik Vassverk;Z0704301335335271189SYNRO;Privat AS, BA, lag, stiftelse, statlig etc;124603;4626;Øygarden;ERROR [MAT_EJBOrgUnit];tilsynet;2013-07-16;Solsvik, Nordre Landro og Misje;2013;115000.0;115000.0;0.0;0.0;0.0;ja;ja;ja;ja;nei;ja;nei;nei;ja;nei;850;900;240;20;85.0;5.0;1.0;;1.0;;8.0
nei;KOMM;964338442;Askøy Kommune;973960636;Askøy Kommune Avløp;4627;Askøy;Ingersvann Vannverk;Z0704301335346311189DCFVG;;124713;4627;Askøy;ERROR [MAT_EJBOrgUnit];tilsynet;;;2012;1662200.0;1662200.0;0.0;;;ja;ja;ja;ja;;;ja;ja;;;5580;5580;1832;10;54.0;1.0;15.0;;;;30.0
nei;BA;;;979528280;Tørrem Vannverk;5057;Ørland;Tørem Vannverk V/ Geir Svendsen;Z0704301335348871190WTYHK;;162709;5057;Ørland;ERROR [MAT_EJBOrgUnit];tilsynet;2014-04-03;Tørrem;2012;0.0;10000.0;;;;ja;ja;ja;ja;nei;nei;nei;nei;ja;nei;54;65;24;5;100.0;100.0;;;100.0;;
ja;SA;970187308;Rissa Vannverk Sa;971893699;Rissa Vannverk Sa;5054;Indre Fosen;Rissa Vannverk;Z0704301335367631190SANCJ;Privat AS, BA, lag, stiftelse, statlig etc;162402;5054;Indre Fosen;ERROR [MAT_EJBOrgUnit];tilsynet;2025-04-14;Endel av Indre Fosen Kommune;2025;431864.0;431087.0;0.0;100.0;1.0;ja;ja;nei;ja;ja;ja;ja;ja;ja;nei;2475;3200;770;85;51.0;9.0;14.0;5.0;11.0;4.0;6.0
ja;KOMM;939898743;Røros Kommune;974563959;Vannverket I Røros;5025;Røros;Røros Vannverk;Z0704301335369291190KYBNE;Kommunal etat/enhet;164003;5025;Røros;ERROR [MAT_EJBOrgUnit];tilsynet;2024-08-14;Røros sentrum;2025;912311.0;912311.0;0.0;0.0;0.0;ja;ja;nei;ja;ja;ja;ja;ja;ja;nei;3600;5000;1840;250;30.0;10.0;25.0;12.0;3.0;0.0;20.0
ja;KOMM;939898743;Røros Kommune;974563959;Vannverket I Røros;5025;Røros;Brekken Vannverk;Z0704301335373081190GGZPA;Kommunal etat/enhet;164001;5025;Røros;ERROR [MAT_EJBOrgUnit];tilsynet;2022-09-08;Brekken;2025;65609.0;65609.0;0.0;0.0;0.0;ja;ja;nei;ja;nei;ja;nei;nei;ja;nei;200;200;70;0;30.0;10.0;25.0;12.0;3.0;0.0;20.0
ja;SA;975736059;Jåren Vassverk Sa;985247269;Jåren Vassverk Sa;5028;Melhus;Jåren Vassverk V/Helge Antonsen;Z0704301335374051190QCWUR;Privat AS, BA, lag, stiftelse, statlig etc;165311;5028;Melhus;ERROR [MAT_EJBOrgUnit];tilsynet;2019-08-14;Jåren;2024;34000.0;34000.0;0.0;100.0;365.0;nei;nei;nei;ja;nei;nei;nei;ja;ja;nei;95;110;35;3;40.0;5.0;0.0;5.0;30.0;0.0;20.0
ja;KOMM;938726027;Melhus Kommune;974559706;Melhus Kommunale Vannverk;5028;Melhus;Melhus Kommunale Vannverk;Z0704301335381471190MBXUL;Kommunal etat/enhet;165305;5028;Melhus;ERROR [MAT_EJBOrgUnit];tilsynet;2026-02-13;Melhus;2025;0.0;1332488.0;1332488.0;100.0;365.0;nei;ja;ja;ja;ja;ja;ja;ja;ja;nei;11643;12000;4657;33;46.0;1.0;5.0;2.0;2.0;6.0;38.0
ja;FLI;971491434;Lunden Leir- Og Fritidssenter;920302203;Lunden Leir- Og Fritidssenter;1111;Sokndal;Lunden Leir- Og Fritidssenter - Vannforsyning;Z0704301335387921189PDNZP;Privat AS, BA, lag, stiftelse, statlig etc;;1111;Sokndal;ERROR [MAT_EJBOrgUnit];tilsynet;2010-06-08;Lunden leir & fritidssenter;2024;260.0;260.0;0.0;;;ja;ja;ja;nei;nei;nei;nei;ja;nei;nei;0;100;0;0;;;;;;;
