mtid_vf;periode;vannprod;vannegetnett;vann_mottatt;max_vann_pers;max_vann_dogn;beredsk_oppd;beredsk_ovelse;boliger;helseinst;skoler;nmindustri;hyttercamp;gardsbruk;fiskemottak;ant_fastboende;ant_personer_max;ant_husstander;ant_hytter;forbr_fast_bosetting;forbr_fritidsboliger;forbr_industri;forbr_tjytende;forbr_primnaering;forbr_annet;forbr_lekkasje;vannuttak;noedvann_inngaar_alt_kilde
Z0704301334220581190KVPHB;2009;25355.0;25355.0;0.0;;;ja;ja;ja;nei;nei;nei;nei;nei;nei;137;150;53;0;63.0;0.0;0.0;0.0;0.0;5.0;32.0;26235.0;
Z0704301334220581190KVPHB;2010;11600.0;11600.0;0.0;;;ja;ja;ja;nei;nei;nei;nei;nei;nei;137;150;53;0;80.0;0.0;0.0;5.0;0.0;0.0;15.0;11600.0;
Z0704301334220581190KVPHB;2011;15496.0;15496.0;0.0;;;ja;nei;ja;nei;nei;nei;nei;nei;nei;137;150;53;0;44.2;0.0;0.0;8.8;0.0;2.9;44.1;16024.0;
Z0704301334220581190KVPHB;2012;15870.0;15870.0;0.0;;;ja;ja;ja;nei;nei;nei;nei;nei;nei;137;150;53;0;47.0;0.0;3.0;0.0;0.0;10.0;40.0;16280.0;
Z0704301334220581190KVPHB;2013;18747.0;18747.0;0.0;0.0;0.0;ja;ja;ja;nei;nei;nei;nei;nei;nei;137;150;53;0;39.0;0.0;0.0;3.0;0.0;3.0;55.0;19259.0;
Z0704301334220581190KVPHB;2014;18847.0;18847.0;0.0;;;ja;ja;ja;nei;nei;nei;nei;nei;nei;137;150;53;0;39.0;;;;;3.0;59.0;19319.0;
Z0704301334220581190KVPHB;2015;9223.0;9223.0;0.0;0.0;0.0;ja;ja;ja;nei;nei;nei;nei;nei;nei;137;150;53;0;81.1;0.0;0.0;0.0;0.0;5.4;13.5;10340.0;
Z0704301334220581190KVPHB;2017;8615.0;8615.0;0.0;136.0;365.0;ja;ja;ja;nei;nei;nei;nei;nei;nei;137;150;53;0;95.0;0.0;0.0;0.0;0.0;3.0;2.0;10629.0;
Z0704301334220581190KVPHB;2018;10774.0;10774.0;0.0;137.0;365.0;ja;ja;ja;nei;nei;nei;nei;nei;nei;137;150;53;0;70.0;0.0;0.0;0.0;0.0;28.0;2.0;12331.0;
Z0704301334220581190KVPHB;2019;8631.0;8631.0;0.0;130.0;365.0;ja;ja;ja;nei;nei;nei;nei;nei;nei;137;150;53;0;82.0;0.0;0.0;0.0;0.0;14.0;4.0;9906.0;ja
Z0704301334220581190KVPHB;2020;11000.0;11000.0;0.0;125.0;365.0;ja;ja;ja;nei;nei;nei;nei;nei;nei;137;150;53;0;58.0;0.0;0.0;0.0;0.0;10.0;32.0;11450.0;ja
Z0704301334220581190KVPHB;2021;12830.0;12830.0;0.0;127.0;365.0;ja;ja;ja;nei;nei;nei;nei;nei;nei;137;150;53;0;51.0;0.0;0.0;0.0;0.0;18.0;31.0;13450.0;ja
